name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
I Don't Feel Like Dancin',13pyGLYmBjYgvOMIEivX2K,54.0,Scissor Sisters,0.71,0.917,-3.385,1,0.0287,0.018000000000000002,0.0,0.335,0.83,,https://i.scdn.co/image/ab67616d0000b273ab41b12bbc0f61ebdfb2dfaf
I'm a Real 1,3u6uUpi5kvtGqYZjQFgDH8,54.0,YG,0.813,0.486,-10.617,0,0.161,0.0673,0.0,0.11699999999999999,0.53,https://p.scdn.co/mp3-preview/6e7d75b795d47e1ba305c28fcf4832f3e47f5e08?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ed2b3a14904a17f887caa450
I Found Lovin',49Nx0cY3kuKBc6S0LRlWnz,54.0,Fatback Band,0.716,0.585,-9.441,0,0.0382,0.00021099999999999998,0.0341,0.19699999999999998,0.406,https://p.scdn.co/mp3-preview/6791f6dae0bfe49ed58466f8002d6d4a87a06443?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d7a7f0bfae115506df1274a5
Somewhere Only We Know,7AQAlklmptrrkBSeujkXsD,54.0,Keane,0.442,0.606,-5.825,1,0.0259,0.0678,1.4300000000000002e-05,0.0973,0.359,,https://i.scdn.co/image/ab67616d0000b273affb9a4195f6aa31116e11a9
See You Leave,6gifrVamdnrYxkXPV6ul0k,54.0,RJD2,0.769,0.613,-6.059,0,0.205,0.0437,0.00286,0.0508,0.502,https://p.scdn.co/mp3-preview/9d48179f2fe6e46bda8cb817ee5e729a5ecb9b29?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273da952840ad2bbc4b601dddbd
Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,54.0,Oscar Isaac,0.495,0.434,-8.079,1,0.0313,0.897,0.000393,0.109,0.23,https://p.scdn.co/mp3-preview/a3bd7c27192b594320b825fd00ee39f36dd5d831?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27323b4c164805747ccda54dec8
We're All To Blame,2cYoayTRed9m3scuQzKq8Z,54.0,Sum 41,0.204,0.8909999999999999,-4.958,0,0.0863,0.00173,0.0,0.0874,0.285,,https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a
Chuper Amigos,6h8oQHda1vXeex187OLud3,54.0,Jenni Rivera,0.838,0.5529999999999999,-4.725,1,0.0432,0.541,2.2e-05,0.0648,0.97,https://p.scdn.co/mp3-preview/d345d74e3a8bd68bafd91bf2e3cbec381b74160b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e665815efd30349f08ab9969
Meeting in My Bedroom,3Ypnlj9KYSif4Elk7EeHgt,54.0,Silk,0.716,0.455,-7.148,0,0.0282,0.0329,1.87e-06,0.0599,0.226,https://p.scdn.co/mp3-preview/cea42a9fc5c8720849acdb7039a7bffe931dc8fe?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2738d4620b296944e3aa99b8bbc
Jigga What / Faint,4pnFRnCOfaETea25g0YSvG,54.0,JAY-Z,0.579,0.96,-3.1519999999999997,0,0.245,0.102,0.0,0.0674,0.5660000000000001,https://p.scdn.co/mp3-preview/4ab237caec1912a70b2e7e8fe21bd37871b6f4d6?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d3acd0f2186daa8e4cb0f65b
