,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
20141,Wake the White Wolf,0clLkj1AMdB66TpLHZnazR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20142,No Other Way,1jnnieDkF1hOlRil2Sgv9i,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20143,Rapper's Delight,0FWhGmPVxLI6jOVF0wjALa,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20144,By Night,6BjAF110FvR7r3j7vhmdKW,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20145,Stand Out,48UDhM2xL9wUuYLfrpK2Jv,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20146,MEIN TEIL,2OQRceDfxBfmwTEmNOSpFq,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20147,Alive And Kicking,471SXWs7Ko4d2rkKOk7oPF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20148,How Will I Know,7mMWGhaIiDmbsGaAAcmwGm,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20149,Grillz,0Aqlt4N5h6rUtKnd09VXpr,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20150,Love and Memories,7n9GxM3guijiK2isLfUgJt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20151,"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio",4a2qoYY6xINDXtUOBFbJ6d,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20152,"Show Me (feat. Trey Songz, Juicy J, 2 Chainz & Chris Brown) - Remix",141P7NlXMEOGbaJIrvGqvi,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20153,So In Love,1D2QnxvMOac95EG9C0KbsJ,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20154,Fireman - Main,0aq7ohTG6VDYQvsnAYtA5e,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20155,Rock Co.Kane Flow (feat. MF Doom),6RBMpENxbx74lTdR5SBcaF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20156,Love U 4 Life,02D9uD9WQb834Lb54xCvDS,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20157,Sunday Morning,6yCjhDzcVIfxvTjBKhhn7P,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20158,Everybody's Watching Me (Uh Oh),0yyyapBjZ9Ek1vcpp3e9bj,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20159,Elle me dit,2CFGQXM3exBO8U9WGve2GY,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20160,All Night Longer REMIX (feat. B.o.B),5PXhYXlPf6CCGrSeZEmJZH,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20161,Suspicious Minds,2Ywft2Thbf7mPyoD2ntadi,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20162,El Dorado,4o0sJFXHckKlBhhynZsSIg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20163,Bold as Love,50DMG6AvtNzbrxMc62w6ph,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20164,Downtown Train,3fPqUl4lPDUQmY0T7dKUv2,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20165,That's How I Got To Memphis,5NmBhMK9Pfu1XNAyzmxIro,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20166,Flossin' (feat. Big Moe),7r8KGFyID2uExN5FupG4AT,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20167,Stars,6lQE6LF3MU63Z6VyhPxaV3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20168,蒲公英的約定,4hYHaROtjB6YREh6AgW3fd,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20169,Fear & Delight,7zyqJJ0QwajaHaPLCqZFXN,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20170,Secret,0WnVjkW8k8Zo37JAI7K8zF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20171,It Matters to Me,3rXdABev6vQtBCElztIl7m,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20172,Heroes (we could be),0YzCQcsgj6KqwBHVx1mZrH,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
