name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Closer,7BKLCZ1jbUBVqRi2FVlTVw,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Mariposa,4ja2gzrNh9VNigzoXfmbwD,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
24 (feat. Lil Baby),7v96VvFLS0wSYT8kewNLRy,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
July,6J2LdBN97cDWn0MLxYh9HB,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Thunder,1zB4vmk8tFRmM9UULNzbLB,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Bruises,4Of7rzpRpV1mWRbhp5rAqG,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
It's You,5DqdesEfbRyOlSS3Tf6c29,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Maniac,6KfoDhO4XUWSbnyKjNp9c4,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Conversations,4K06PO78fW4mnBVenxGNob,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Righteous,5dOxHHMOFAbG3VH23t0xNm,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
The Scientist,75JFxkI2RXiU7L9VXzMkle,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sigues Con El,7sQKy5vlPQllr0k9IjYJv3,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
