name,spotify_id,popularity
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,84.0
Righteous,5dOxHHMOFAbG3VH23t0xNm,84.0
Bruises,4Of7rzpRpV1mWRbhp5rAqG,84.0
OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,84.0
We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,84.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,84.0
Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,84.0
The Scientist,75JFxkI2RXiU7L9VXzMkle,84.0
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,84.0
Sigues Con El,7sQKy5vlPQllr0k9IjYJv3,83.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,83.0
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,83.0
Wow.,7xQAfvXzm3AkraOtGPWIZg,83.0
Dream Girl - Remix,099tjv6oy2opbpCOA3nBwX,83.0
Hola - Remix,5stPVcRqb4qixbafP9e8lt,83.0
Daylight,6Ed1q0X8oSKSm4IIhiQbYg,83.0
This City,3H3r2nKWa3Yk5gt8xgmsEt,83.0
Sucker,22vgEDb5hykfaTwLuskFGD,83.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,83.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,83.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,83.0
Ransom,1lOe9qE0vR9zwWQAOk6CoO,83.0
Sucker,22vgEDb5hykfaTwLuskFGD,83.0
Dream Girl - Remix,099tjv6oy2opbpCOA3nBwX,83.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,83.0
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,83.0
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,83.0
Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,83.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,83.0
This City,3H3r2nKWa3Yk5gt8xgmsEt,83.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,83.0
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,83.0
Wow.,7xQAfvXzm3AkraOtGPWIZg,83.0
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,83.0
Starboy,7MXVkk9YMctZqd1Srtv4MB,83.0
Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,83.0
Ransom,1lOe9qE0vR9zwWQAOk6CoO,83.0
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,83.0
Sofia,7B3z0ySL9Rr0XvZEAjWZzM,83.0
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,83.0
Hola - Remix,5stPVcRqb4qixbafP9e8lt,83.0
Sofia,7B3z0ySL9Rr0XvZEAjWZzM,83.0
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,83.0
BOP,6Ozh9Ok6h4Oi1wUSLtBseN,83.0
RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,83.0
Sigues Con El,7sQKy5vlPQllr0k9IjYJv3,83.0
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,83.0
the 1,0Jlcvv8IykzHaSmj49uNW8,83.0
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,83.0
BOP,6Ozh9Ok6h4Oi1wUSLtBseN,83.0
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,83.0
Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,83.0
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,83.0
RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,83.0
Rags2Riches 2 (feat. Lil Baby),0qJeyYAgv6UpvewUxRXAhb,83.0
Callaita,2TH65lNHgvLxCKXM3apjxI,82.0
